Date,Sentiment,average_sentiment_score,Open,High,Low,Close,Volume
02-04-2017,negative,0.435634079,13539.9,13567.71,13450.96,13452,83.242141
03-04-2017,negative,0.415013261,13455.24,13500,13357,13425.15,125.612322
04-04-2017,positive,0.607006371,13425.15,13441.44,13355.01,13415,68.226373
05-04-2017,negative,0.378181342,13426.33,13500,13390,13427.48,72.797625
06-04-2017,positive,0.533313316,13427.48,13454.47,13365,13380,78.582175
07-04-2017,negative,0.372519142,13382.16,13539.54,13382.16,13490.42,91.126953
08-04-2017,positive,0.677049071,13480.01,13700.04,13467.22,13700.04,82.646188
09-04-2017,negative,0.439592997,13700,13850,13689.71,13715,189.063763
10-04-2017,negative,0.463123762,13715,13770,13672.89,13750.01,103.75921
11-04-2017,positive,0.518290356,13769.98,13800,13659.45,13662.13,160.355072
12-04-2017,negative,0.497264949,13681.65,13717.52,13662.16,13686,89.270882
13-04-2017,negative,0.414064351,13686,13700,13600,13636.41,135.893836
14-04-2017,negative,0.428094078,13648.9,13702.59,13590,13600,131.942135
15-04-2017,positive,0.751901136,13611.93,13678.33,13538.39,13582,205.252396
16-04-2017,negative,0.332718279,13582,13635.76,13407.98,13437.17,238.157918
17-04-2017,positive,0.571625516,13437.11,13550,13398,13504.02,150.339392
18-04-2017,negative,0.438438116,13485.44,13583,13480.48,13522,120.785075
19-04-2017,positive,0.627408355,13520.32,13539.98,13309,13320.06,147.0058
20-04-2017,positive,0.620172266,13313.36,13402.59,13231.96,13400,237.960484
21-04-2017,negative,0.437793511,13400,13449.76,13326.86,13421.25,144.716881
22-04-2017,negative,0.304545756,13402.73,13447.89,13306,13353.78,137.256941
23-04-2017,negative,0.342470088,13353.78,13467.78,13306,13435.74,190.165912
24-04-2017,negative,0.292243326,13435.74,13480.84,13012,13047,265.916575
25-04-2017,negative,0.400237977,13047,13130.98,12890.02,13071,388.20198
26-04-2017,negative,0.496980422,13071,13200,13062.12,13127.31,148.13446
27-04-2017,negative,0.399130605,13129.03,13244.99,13107.07,13190.28,164.134921
28-04-2017,positive,0.822783757,13212.25,13239.09,13100.02,13176.2,176.869874
29-04-2017,positive,0.628999728,13176.19,13208.82,13090.7,13167.87,130.342967
30-04-2017,positive,0.55492273,13141,13214.02,13135,13166.95,128.654949
01-05-2017,negative,0.499887497,13166.95,13187.22,13041.5,13089.98,98.084905
02-05-2017,negative,0.432198141,13089.98,13240,13070.8,13220.07,177.501279
03-05-2017,positive,0.593097823,13204,13300,13150.1,13290.2,272.509484
04-05-2017,positive,0.520132349,13290.2,13338.66,13237.48,13255.98,174.214367
05-05-2017,negative,0.375336967,13256.07,13276.2,13164.03,13213.94,164.716552
06-05-2017,negative,0.362563849,13213.95,13264.93,13150,13235,183.35416
07-05-2017,negative,0.429357359,13235,13332.1,13235,13325.31,139.724345
08-05-2017,negative,0.372699006,13300,13359.98,13290.11,13343,177.789323
09-05-2017,positive,0.557208608,13343.01,13400,13316.68,13399.94,147.338814
10-05-2017,positive,0.570457379,13399.94,13440,13334.99,13350,207.251216
11-05-2017,negative,0.464115104,13350.01,13379.97,13324.27,13345.06,188.664158
12-05-2017,positive,0.577901223,13345.09,13375.06,13302.59,13326.09,202.389475
13-05-2017,negative,0.269535631,13342.97,13518.68,13326.1,13480,167.349601
14-05-2017,positive,0.51325845,13486.7,13499.99,13370.03,13451.06,150.976077
15-05-2017,positive,0.714489662,13451.95,13499.98,13379.3,13450.49,112.69591
16-05-2017,negative,0.344043622,13450.49,13523.46,13366.8,13452,80.521182
17-05-2017,negative,0.431395117,13460,13554,13401.6,13539.87,171.949464
18-05-2017,negative,0.402318404,13539,13549,13520,13520.01,172.948797
19-05-2017,positive,0.510545447,13520.01,13587.99,13475.42,13559.99,172.375963
20-05-2017,negative,0.267542428,13542,13617.28,13500.21,13560,137.180367
21-05-2017,negative,0.332515445,13566.5,13573,13480,13500.01,213.958235
22-05-2017,positive,0.642329115,13512.89,13538.04,13475.26,13503.8,157.126006
23-05-2017,positive,0.564329368,13506.9,13510,13401.05,13420,158.055205
24-05-2017,negative,0.43604707,13414.74,13499,13408.53,13490,155.402204
25-05-2017,negative,0.377869811,13490,13589,13480.01,13550.98,155.538893
26-05-2017,positive,0.505612302,13550.98,13590,13517.44,13566.28,124.752858
27-05-2017,positive,0.797996227,13576.99,13588.98,13500.1,13509,196.572268
28-05-2017,positive,0.635281334,13507.01,13537,13450.46,13489.04,194.341924
29-05-2017,negative,0.446537779,13489.04,13757.22,13470.41,13712.14,276.98791
30-05-2017,positive,0.994074762,13729.97,13729.98,13553,13680,300.363626
31-05-2017,positive,0.646606048,13680,13822.05,13630,13815.01,220.219983
01-06-2017,positive,0.584929692,13815.01,13875,13755.34,13864.98,239.264811
02-06-2017,negative,0.309965926,13864.95,13894.86,13695,13717.76,189.464869
03-06-2017,negative,0.427057068,13741.1,13798.96,13649.92,13760,185.556579
04-06-2017,positive,0.529537902,13760,13790,13700,13730,172.624244
05-06-2017,positive,0.563341148,13730,13750,13630,13664.4,157.535035
06-06-2017,positive,0.569426103,13661.21,13739.89,13652.01,13670.03,195.131876
07-06-2017,positive,0.545025419,13678,13687.99,13538.74,13589,257.539536
08-06-2017,negative,0.478905123,13591.01,13608.98,13510,13608.95,250.602706
09-06-2017,positive,0.5349658,13597.65,13738,13582.59,13690.03,249.38239
10-06-2017,positive,0.550304962,13690.02,13800,13684.02,13768,228.608147
11-06-2017,negative,0.415330138,13784.91,13842.88,13769.59,13807.99,291.58196
12-06-2017,positive,0.633706919,13807.99,13824.18,13684.02,13690.02,242.957223
13-06-2017,negative,0.464105144,13711,13749,13584.99,13590.02,257.709426
14-06-2017,negative,0.437501607,13599.99,13725,13584,13679.24,259.893699
