date,Sentiment,average_sentiment_score
2017-11-05,negative,0.49406948685646057
2017-11-06,negative,0.49833205342292786
2017-11-07,negative,0.44089069962501526
2017-11-08,positive,0.564235270023346
2017-11-09,negative,0.44876331090927124
2017-11-10,negative,0.3987848162651062
2017-11-11,positive,0.5292420387268066
2017-11-12,positive,0.5610923767089844
2017-11-13,negative,0.4773399233818054
2017-11-14,positive,0.5660789608955383
2017-11-15,negative,0.4421190917491913
2017-11-16,positive,0.5396813154220581
2017-11-17,positive,0.5873392224311829
2017-11-18,negative,0.46916115283966064
2017-11-19,positive,0.5509510040283203
2017-11-20,positive,0.5109758973121643
2017-11-21,positive,0.5150302648544312
2017-11-22,negative,0.423904687166214
2017-11-23,positive,0.5443989634513855
2017-11-24,positive,0.5143790245056152
2017-11-25,positive,0.5635272860527039
2017-11-26,positive,0.5209680199623108
2017-11-27,positive,0.5569149851799011
2017-11-28,negative,0.45940861105918884
2017-11-29,positive,0.6191410422325134
2017-11-30,positive,0.5433769226074219
2017-12-01,negative,0.45151886343955994
2017-12-02,positive,0.5822144150733948
2017-12-03,negative,0.4423726201057434
2017-12-04,positive,0.5457570552825928
2017-12-05,negative,0.485826313495636
2017-12-06,positive,0.5942591428756714
2017-12-07,negative,0.4612748324871063
2017-12-08,positive,0.5036054253578186
2017-12-09,positive,0.5085402131080627
2017-12-10,negative,0.4366268515586853
2017-12-11,negative,0.49829280376434326
2017-12-12,positive,0.5197228193283081
2017-12-13,negative,0.4040753245353699
2017-12-14,positive,0.5144996047019958
2017-12-15,positive,0.5817561149597168
2017-12-16,negative,0.4335967004299164
2017-12-17,negative,0.4345798194408417
2017-12-18,negative,0.38626861572265625
2017-12-19,negative,0.4407033920288086
2017-12-20,positive,0.531647264957428
2017-12-21,negative,0.4771976172924042
2017-12-22,negative,0.44534167647361755
2017-12-23,positive,0.5679402947425842
2017-12-24,positive,0.5136409997940063
2017-12-25,positive,0.5905071496963501
2017-12-26,positive,0.5639064908027649
2017-12-27,negative,0.4898843467235565
2017-12-28,negative,0.45994433760643005
2017-12-29,positive,0.5523272156715393
2017-12-30,positive,0.5336916446685791
2017-12-31,negative,0.40848618745803833
2018-01-01,negative,0.42306065559387207
2018-01-02,negative,0.42657774686813354
2018-01-03,positive,0.5406392216682434
2018-01-04,positive,0.5585907697677612
2018-01-05,positive,0.5772628784179688
2018-01-06,positive,0.5402020812034607
2018-01-07,positive,0.5385746359825134
2018-01-08,positive,0.5424355864524841
2018-01-09,negative,0.4757835865020752
2018-01-10,positive,0.5570942759513855
2018-01-11,negative,0.4473431706428528
2018-01-12,positive,0.5801758170127869
2018-01-13,negative,0.49452078342437744
2018-01-14,negative,0.40338078141212463
2018-01-15,positive,0.5319133400917053
