date,Sentiment,average_sentiment_score
08-10-2018,negative,0.497578442
09-10-2018,positive,0.508032441
10-10-2018,negative,0.407552481
11-10-2018,positive,0.510341883
12-10-2018,negative,0.454114914
13-10-2018,positive,0.541677833
14-10-2018,positive,0.556806743
15-10-2018,positive,0.564781845
16-10-2018,negative,0.469339967
17-10-2018,positive,0.518789947
18-10-2018,positive,0.512819886
19-10-2018,positive,0.587219059
20-10-2018,negative,0.484515965
21-10-2018,positive,0.603799701
22-10-2018,negative,0.429087996
23-10-2018,positive,0.522687376
24-10-2018,negative,0.467287779
25-10-2018,positive,0.585181534
26-10-2018,positive,0.548282504
27-10-2018,positive,0.544857085
28-10-2018,negative,0.461517751
29-10-2018,negative,0.491477281
30-10-2018,negative,0.461334139
31-10-2018,positive,0.529247761
01-11-2018,negative,0.497108191
02-11-2018,positive,0.52613616
03-11-2018,negative,0.479671955
04-11-2018,negative,0.419926822
05-11-2018,negative,0.49470225
06-11-2018,negative,0.42908287
07-11-2018,negative,0.474645495
08-11-2018,positive,0.517257869
09-11-2018,negative,0.412121803
10-11-2018,negative,0.385083318
11-11-2018,negative,0.486871451
12-11-2018,positive,0.515281498
13-11-2018,positive,0.601045549
14-11-2018,negative,0.464271456
15-11-2018,negative,0.482537448
16-11-2018,negative,0.489860535
17-11-2018,negative,0.352879018
18-11-2018,negative,0.467740327
19-11-2018,positive,0.539393961
20-11-2018,positive,0.536421418
21-11-2018,positive,0.739147604
22-11-2018,negative,0.466537863
23-11-2018,negative,0.486529469
24-11-2018,negative,0.447949171
25-11-2018,negative,0.471729636
26-11-2018,negative,0.439388812
27-11-2018,positive,0.529686868
28-11-2018,positive,0.571069181
29-11-2018,positive,0.589166403
30-11-2018,negative,0.49045071
01-12-2018,negative,0.436083406
02-12-2018,negative,0.398001313
03-12-2018,positive,0.515324116
04-12-2018,negative,0.430702448
05-12-2018,negative,0.456926614
06-12-2018,negative,0.45723328
07-12-2018,negative,0.432857871
08-12-2018,negative,0.453535348
09-12-2018,positive,0.589493752
10-12-2018,positive,0.505647838
11-12-2018,negative,0.470121384
12-12-2018,positive,0.527016938
13-12-2018,positive,0.515119493
14-12-2018,positive,0.586230636
15-12-2018,positive,0.52175945
16-12-2018,negative,0.439316273
17-12-2018,positive,0.521452606
18-12-2018,negative,0.446993679
19-12-2018,positive,0.602358401
21-12-2018,negative,0.382245809
22-12-2018,positive,0.60836947
23-12-2018,positive,0.526827216
24-12-2018,positive,0.589193463
25-12-2018,positive,0.55992943
26-12-2018,negative,0.493785262
27-12-2018,negative,0.417708427
28-12-2018,negative,0.440659493
29-12-2018,negative,0.447910398
30-12-2018,positive,0.539188087
31-12-2018,positive,0.522026002
01-01-2019,positive,0.507515013
02-01-2019,negative,0.446325541
03-01-2019,negative,0.47003296
04-01-2019,negative,0.38223961
05-01-2019,positive,0.516940057
06-01-2019,negative,0.498711139
07-01-2019,positive,0.507387519
08-01-2019,positive,0.538194895
09-01-2019,negative,0.497801393
10-01-2019,negative,0.478702694
11-01-2019,negative,0.48643592
12-01-2019,positive,0.534178913
13-01-2019,negative,0.433453172
14-01-2019,positive,0.503522813
15-01-2019,positive,0.566465497
16-01-2019,positive,0.54727602
17-01-2019,negative,0.468007684
18-01-2019,positive,0.516841769
19-01-2019,positive,0.542684615
20-01-2019,positive,0.598573387
21-01-2019,positive,0.563185632
22-01-2019,negative,0.485827655
23-01-2019,positive,0.541157067
24-01-2019,positive,0.528180897
25-01-2019,negative,0.451660812
26-01-2019,negative,0.474375725
27-01-2019,negative,0.485185236
28-01-2019,negative,0.476322562
29-01-2019,negative,0.465358853
30-01-2019,positive,0.544338644
31-01-2019,negative,0.475043863
01-02-2019,negative,0.473192632
02-02-2019,positive,0.505384922
03-02-2019,positive,0.50836879
04-02-2019,negative,0.482081056
05-02-2019,negative,0.484128416
06-02-2019,negative,0.472342372
07-02-2019,negative,0.488391757
08-02-2019,positive,0.558635235
09-02-2019,negative,0.428455144
10-02-2019,negative,0.452591389
11-02-2019,negative,0.396447062
12-02-2019,negative,0.419178396
13-02-2019,negative,0.491336495
14-02-2019,negative,0.484031141
15-02-2019,positive,0.58276093
16-02-2019,positive,0.577242374
17-02-2019,positive,0.540283382
18-02-2019,positive,0.601350784
19-02-2019,negative,0.423534214
20-02-2019,positive,0.507991135
21-02-2019,positive,0.554061294
22-02-2019,negative,0.496620685
23-02-2019,negative,0.497887373
24-02-2019,negative,0.46138677
25-02-2019,positive,0.559863567
26-02-2019,negative,0.434413403
27-02-2019,negative,0.447042882
28-02-2019,negative,0.409497112
01-03-2019,positive,0.581367016
