date,Sentiment,average_sentiment_score
25-08-2017,positive,0.610645652
26-08-2017,negative,0.453379989
27-08-2017,negative,0.450924248
28-08-2017,positive,0.656920671
29-08-2017,positive,0.502025604
30-08-2017,positive,0.511432528
31-08-2017,positive,0.537214041
01-09-2017,negative,0.458173633
02-09-2017,positive,0.5118379
03-09-2017,positive,0.505645454
04-09-2017,positive,0.536774993
05-09-2017,negative,0.428354174
06-09-2017,positive,0.576674521
07-09-2017,positive,0.507333875
08-09-2017,negative,0.390718818
09-09-2017,negative,0.451281995
10-09-2017,positive,0.585540175
11-09-2017,negative,0.457868516
12-09-2017,positive,0.507951379
13-09-2017,negative,0.398461968
14-09-2017,negative,0.279298574
15-09-2017,negative,0.458134621
16-09-2017,positive,0.529384792
17-09-2017,negative,0.460123509
18-09-2017,negative,0.490898609
19-09-2017,negative,0.484969437
20-09-2017,negative,0.478161365
21-09-2017,positive,0.58331722
22-09-2017,negative,0.467671633
23-09-2017,negative,0.485567302
24-09-2017,positive,0.60585618
25-09-2017,negative,0.468101472
26-09-2017,negative,0.432499647
27-09-2017,positive,0.568499088
28-09-2017,negative,0.490357667
29-09-2017,positive,0.547134161
30-09-2017,positive,0.582898617
01-10-2017,negative,0.360389501
02-10-2017,negative,0.418370217
03-10-2017,positive,0.593046248
04-10-2017,positive,0.514912009
05-10-2017,negative,0.494517446
06-10-2017,negative,0.465398937
07-10-2017,negative,0.334503591
08-10-2017,positive,0.672795355
09-10-2017,positive,0.509900808
10-10-2017,negative,0.427458316
11-10-2017,negative,0.374977887
12-10-2017,negative,0.452756822
13-10-2017,positive,0.553955257
14-10-2017,positive,0.573879361
15-10-2017,positive,0.625096917
16-10-2017,positive,0.533025622
17-10-2017,negative,0.367761642
18-10-2017,positive,0.574847579
19-10-2017,positive,0.527274787
20-10-2017,positive,0.524309993
21-10-2017,positive,0.523001254
22-10-2017,positive,0.581117451
23-10-2017,negative,0.47168079
24-10-2017,negative,0.339149117
25-10-2017,negative,0.428624719
26-10-2017,negative,0.490894884
27-10-2017,positive,0.541485965
28-10-2017,negative,0.492312968
29-10-2017,positive,0.552763462
30-10-2017,positive,0.508345127
31-10-2017,positive,0.570333362
01-11-2017,positive,0.567003787
02-11-2017,negative,0.460638344
03-11-2017,negative,0.485416502
04-11-2017,positive,0.522616625
05-11-2017,negative,0.494069487
06-11-2017,negative,0.498332053
07-11-2017,negative,0.4408907
08-11-2017,positive,0.56423527
09-11-2017,negative,0.448763311
10-11-2017,negative,0.398784816
11-11-2017,positive,0.529242039
12-11-2017,positive,0.561092377
13-11-2017,negative,0.477339923
14-11-2017,positive,0.566078961
15-11-2017,negative,0.442119092
16-11-2017,positive,0.539681315
17-11-2017,positive,0.587339222
18-11-2017,negative,0.469161153
19-11-2017,positive,0.550951004
20-11-2017,positive,0.510975897
21-11-2017,positive,0.515030265
22-11-2017,negative,0.423904687
23-11-2017,positive,0.544398963
24-11-2017,positive,0.514379025
25-11-2017,positive,0.563527286
26-11-2017,positive,0.52096802
27-11-2017,positive,0.556914985
28-11-2017,negative,0.459408611
29-11-2017,positive,0.619141042
30-11-2017,positive,0.543376923
01-12-2017,negative,0.451518863
02-12-2017,positive,0.582214415
03-12-2017,negative,0.44237262
04-12-2017,positive,0.545757055
05-12-2017,negative,0.485826313
06-12-2017,positive,0.594259143
07-12-2017,negative,0.461274832
08-12-2017,positive,0.503605425
09-12-2017,positive,0.508540213
10-12-2017,negative,0.436626852
11-12-2017,negative,0.498292804
12-12-2017,positive,0.519722819
13-12-2017,negative,0.404075325
14-12-2017,positive,0.514499605
15-12-2017,positive,0.581756115
16-12-2017,negative,0.4335967
17-12-2017,negative,0.434579819
18-12-2017,negative,0.386268616
19-12-2017,negative,0.440703392
20-12-2017,positive,0.531647265
21-12-2017,negative,0.477197617
22-12-2017,negative,0.445341676
23-12-2017,positive,0.567940295
24-12-2017,positive,0.513641
25-12-2017,positive,0.59050715
26-12-2017,positive,0.563906491
27-12-2017,negative,0.489884347
28-12-2017,negative,0.459944338
29-12-2017,positive,0.552327216
30-12-2017,positive,0.533691645
31-12-2017,negative,0.408486187
